127.0.0.1 - - [15/Dec/2017:21:39:25 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:39:27 -0500] "GET /webapp/index.jsp HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:39:35 -0500] "POST /webapp/login.jsp HTTP/1.1" 500 4131
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:40:52 -0500] "GET /webapp/index.jsp HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:40:56 -0500] "POST /webapp/login.jsp HTTP/1.1" 500 4125
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:41:55 -0500] "GET /webapp/index.jsp HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:41:58 -0500] "POST /webapp/login.jsp HTTP/1.1" 500 4112
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:42:49 -0500] "GET /webapp/index.jsp HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:42:50 -0500] "POST /webapp/login.jsp HTTP/1.1" 500 3787
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:43:04 -0500] "POST /webapp/login.jsp HTTP/1.1" 500 3787
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:45:04 -0500] "GET /webapp/index.jsp HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:45:06 -0500] "POST /webapp/login.jsp HTTP/1.1" 500 3602
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:45:43 -0500] "GET /webapp/index.jsp HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:45:45 -0500] "POST /webapp/login.jsp HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:45:47 -0500] "GET /webapp/index.jsp HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:45:50 -0500] "POST /webapp/login.jsp HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:45:52 -0500] "GET /webapp/index.jsp HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:45:56 -0500] "GET /webapp/reg.jsp HTTP/1.1" 200 1848
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:46:15 -0500] "POST /webapp/registration.jsp HTTP/1.1" 500 5162
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:47:26 -0500] "GET /webapp/index.jsp HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:47:28 -0500] "GET /webapp/reg.jsp HTTP/1.1" 200 1848
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:47:41 -0500] "POST /webapp/registration.jsp HTTP/1.1" 500 5168
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:48:14 -0500] "GET /webapp/index.jsp HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:48:16 -0500] "GET /webapp/reg.jsp HTTP/1.1" 200 1848
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:48:33 -0500] "POST /webapp/registration.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:48:33 -0500] "GET /webapp/welcome.jsp HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:48:41 -0500] "GET /webapp/index.jsp HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:48:47 -0500] "POST /webapp/login.jsp HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [15/Dec/2017:21:48:48 -0500] "GET /webapp/index.jsp HTTP/1.1" 200 1306
